codigo_receita;orgao;uniorcam;receita_orcada;receita_realizada;recurso_vinculado;especificacao_receita;tipo_nivel;numero_nivel;caracteristica_peculiar_receita;previsao_atualizada;complemento_recurso_vinculado;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.1.8.02.3.4.01.00.00.00.000;02;0201;4.773,77;175,74;0001;"ISS - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - PROPRIO";A;07;000;4.773,77;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.4.02.00.00.00.000;02;0201;1.989,07;73,27;0020;"ISS - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - MDE";A;07;000;1.989,07;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.1.8.02.3.4.03.00.00.00.000;02;0201;1.193,44;43,95;0040;"ISS - MULTAS E JUROS DE MORA DA DIVIDA ATIVA  - ASPS";A;07;000;1.193,44;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.0.00.0.0.00.00.00.00.000;02;0201;73.485,80;101.512,69;0000;TAXAS;S;03;000;73.485,80;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.00.0.0.00.00.00.00.000;02;0201;73.485,80;101.512,69;0000;"TAXAS - ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS";S;04;000;73.485,80;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.0.0.00.00.00.00.000;02;0201;73.485,80;101.512,69;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO";S;05;000;73.485,80;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.1.0.00.00.00.00.000;02;0201;3.038,08;2.787,63;0000;"TAXA DE FISCALIZACAO DE VIGILANCIA SANITARIA";S;06;000;3.038,08;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.1.1.00.00.00.00.000;02;0201;3.038,08;2.391,00;0001;"TAXA DE FISCALIZACAO DE VIGILANCIA SANITARIA - PRINCIPAL";A;06;000;3.038,08;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.1.3.00.00.00.00.000;02;0201;0,00;251,32;0001;"TAXA DE FISCALIZACAO DE VIGILANCIA SANITARIA - DIVIDA ATIVA";A;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.1.4.00.00.00.00.000;02;0201;0,00;145,31;0001;"TAXA DE FISCALIZACAO DE VIGILANCIA SANITARIA - MULTAS E JUROS DE MORA DA DIVIDA ATIVA";A;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.0.00.00.00.00.000;02;0201;70.447,72;98.725,06;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - OUTRAS";S;06;000;70.447,72;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.1.00.00.00.00.000;02;0201;70.447,72;86.540,00;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - OUTRAS - PRINCIPAL";S;06;000;70.447,72;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.1.01.00.00.00.000;02;0201;37.147,75;43.460,00;0001;"TAXA DE VISTORIA - PRINCIPAL";A;07;000;37.147,75;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.1.03.00.00.00.000;02;0201;9.760,49;10.564,00;0001;"ALVARA DE LICENCA E LOCALIZACAO - PRINCIPAL";A;07;000;9.760,49;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.1.04.00.00.00.000;02;0201;10.954,22;16.191,00;0001;"TAXA DE EXPEDIENTE - PRINCIPAL";A;07;000;10.954,22;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.1.05.00.00.00.000;02;0201;7.830,09;5.687,00;1005;"TAXA DE LICENCA AMBIENTAL - PRINCIPAL";A;07;000;7.830,09;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.1.06.00.00.00.000;02;0201;4.755,17;9.620,00;0001;"TAXA DE APROVACAO DE PROJETOS DE CONSTRUCAO CIVIL - PRINCIPAL";A;07;000;4.755,17;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.1.07.00.00.00.000;02;0201;0,00;1.018,00;0001;"TAXA DE APROVACAO DE LOTEAMENTO/FRACIONAMENTO - PRINCIPAL";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.2.00.00.00.00.000;02;0201;0,00;181,87;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - OUTRAS - MULTAS E JUROS DE MORA";S;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.2.01.00.00.00.000;02;0201;0,00;152,80;0001;"TAXA DE VISTORIA - MULTA E JUROS DE MORA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.2.03.00.00.00.000;02;0201;0,00;27,79;0001;"ALVARA DE LICENCA E LOCALIZACAO - MULTA E JUROS DE MORA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.2.04.00.00.00.000;02;0201;0,00;1,28;0001;"TAXA DE EXPEDIENTE - MULTA E JUROS DE MORA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.3.00.00.00.00.000;02;0201;0,00;9.537,49;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - OUTRAS - DIVIDA ATIVA";S;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.3.01.00.00.00.000;02;0201;0,00;9.319,27;0001;"TAXA DE VISTORIA - DIVIDA ATIVA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.3.03.00.00.00.000;02;0201;0,00;192,50;0001;"ALVARA DE LICENCA E LOCALIZACAO - DIVIDA ATIVA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.3.04.00.00.00.000;02;0201;0,00;25,72;0001;"TAXA DE EXPEDIENTE - DIVIDA ATIVA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.4.00.00.00.00.000;02;0201;0,00;2.465,70;0000;"TAXAS DE INSPECAO, CONTROLE E FISCALIZACAO - OUTRAS - MULTAS E JUROS DE MORA DA DIVIDA ATIVA";S;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.4.01.00.00.00.000;02;0201;0,00;2.430,43;0001;"TAXA DE VISTORIA - MULTA E JUROS DE MORA DA DIVIDA ATIVA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.4.03.00.00.00.000;02;0201;0,00;28,88;0001;"ALVARA DE LICENCA E LOCALIZACAO - MULTA E JUROS DE MORA DA DIVIDA ATIVA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.1.2.8.01.9.4.04.00.00.00.000;02;0201;0,00;6,39;0001;"TAXA DE EXPEDIENTE - MULTA E JUROS DE MORA DA DIVIDA ATIVA";A;07;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.0.0.00.0.0.00.00.00.00.000;02;0201;1.057.156,21;1.233.145,77;0000;CONTRIBUICOES;S;02;000;1.057.156,21;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.0.00.0.0.00.00.00.00.000;02;0201;837.642,53;1.040.420,66;0000;"CONTRIBUICOES SOCIAIS";S;03;000;837.642,53;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.00.0.0.00.00.00.00.000;02;0201;837.642,53;1.040.420,66;0000;"CONTRIBUICOES SOCIAIS ESPECIFICAS DE ESTADOS, DF E MUNICIPIOS";S;04;000;837.642,53;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.0.0.00.00.00.00.000;02;0201;837.642,53;1.040.420,66;0000;"CONTRIBUICAO DO SERVIDOR CIVIL PARA O PLANO DE SEGURIDADE SOCIAL - CPSSS - ESPECIFICO DE EST/DF/MUN";S;05;000;837.642,53;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.1.0.00.00.00.00.000;02;0201;834.043,12;1.022.735,78;0000;"CPSSS DO SERVIDOR CIVIL ATIVO";S;06;000;834.043,12;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.1.1.00.00.00.00.000;12;1201;834.043,12;1.022.735,78;0050;"CPSSS DO SERVIDOR CIVIL ATIVO - PRINCIPAL";A;06;000;834.043,12;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.2.0.00.00.00.00.000;02;0201;0,00;12.860,90;0000;"CPSSS DO SERVIDOR CIVIL INATIVO";S;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.2.1.00.00.00.00.000;12;1201;0,00;12.860,90;0050;"CPSSS DO SERVIDOR CIVIL INATIVO - PRINCIPAL";A;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.3.0.00.00.00.00.000;02;0201;3.599,41;4.576,13;0000;"CPSSS DO SERVIDOR CIVIL - PENSIONISTAS";S;06;000;3.599,41;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.3.1.00.00.00.00.000;12;1201;3.599,41;4.576,13;0050;"CPSSS DO SERVIDOR CIVIL - PENSIONISTAS - PRINCIPAL";A;06;000;3.599,41;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.4.0.00.00.00.00.000;02;0201;0,00;247,85;0000;"CPSSS ORIUNDA DE SENTENCAS JUDICIAIS - SERVIDOR CIVIL ATIVO";S;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.1.8.01.4.1.00.00.00.00.000;12;1201;0,00;247,85;0050;"CPSSS ORIUNDA DE SENTENCAS JUDICIAIS - SERVIDOR CIVIL ATIVO - PRINCIPAL";A;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.4.0.00.0.0.00.00.00.00.000;02;0201;219.513,68;192.725,11;0000;"CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA";S;03;000;219.513,68;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.4.0.00.1.0.00.00.00.00.000;02;0201;219.513,68;192.725,11;0000;"CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA";S;06;000;219.513,68;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.2.4.0.00.1.1.00.00.00.00.000;02;0201;219.513,68;192.725,11;0001;"CONTRIBUICAO PARA O CUSTEIO DO SERVICO DE ILUMINACAO PUBLICA - PRINCIPAL";A;06;000;219.513,68;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.0.0.00.0.0.00.00.00.00.000;02;0201;1.557.530,47;1.923.638,00;0000;"RECEITA PATRIMONIAL";S;02;000;1.575.038,86;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.1.0.00.0.0.00.00.00.00.000;02;0201;218.533,26;219.484,76;0000;"EXPLORACAO DO PATRIMONIO IMOBILIARIO DO ESTADO";S;03;000;218.533,26;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.1.0.01.0.0.00.00.00.00.000;02;0201;218.533,26;219.484,76;0000;"ALUGUEIS, ARRENDAMENTOS, FOROS, LAUDEMIOS, TARIFAS DE OCUPACAO";S;05;000;218.533,26;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.1.0.01.1.0.00.00.00.00.000;02;0201;218.533,26;219.484,76;0000;"ALUGUEIS E ARRENDAMENTOS";S;06;000;218.533,26;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.1.0.01.1.1.00.00.00.00.000;02;0201;218.533,26;217.837,00;0001;"ALUGUEIS E ARRENDAMENTOS - PRINCIPAL";A;06;000;218.533,26;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.1.0.01.1.3.00.00.00.00.000;02;0201;0,00;1.505,52;0001;"ALUGUEIS E ARRENDAMENTOS - DIVIDA ATIVA";A;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.1.0.01.1.4.00.00.00.00.000;02;0201;0,00;142,24;0001;"ALUGUEIS E ARRENDAMENTOS - MULTAS E JUROS DE MORA DA DIVIDA ATIVA";A;06;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.0.00.0.0.00.00.00.00.000;02;0201;1.338.997,21;1.704.153,24;0000;"VALORES MOBILIARIOS";S;03;000;1.356.505,60;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.0.0.00.00.00.00.000;02;0201;1.338.997,21;1.704.153,24;0000;"JUROS E CORRECOES MONETARIAS";S;04;000;1.356.505,60;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.0.00.00.00.00.000;02;0201;122.434,13;274.620,99;0000;"REMUNERACAO DE DEPOSITOS BANCARIOS";S;06;000;139.942,52;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.00.00.00.00.000;02;0201;122.434,13;274.620,99;0000;"REMUNERACAO DE DEPOSITOS BANCARIOS - PRINCIPAL";S;06;000;139.942,52;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.00.00.00.000;02;0201;12.939,40;49.511,51;0000;"REMUNERACAO DE DEPOSITOS DE RECURSOS VINCULADOS - PRINCIPAL";S;07;000;15.547,79;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.02.00.00.000;02;0201;12.939,40;23.649,48;0031;"REMUNERACAO DE DEPOSITOS  BANCARIOS DE RECURSOS VINCULADOS - FUNDEB - PRINCIPAL";A;08;000;12.939,40;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.00.00.000;02;0201;0,00;16.203,51;0000;"REMUNERACAO DE DEPOSITOS  BANCARIOS DE RECURSOS VINCULADOS - FUNDO DE SAUDE - PRINCIPAL";S;08;000;998,69;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.02.00.000;02;0201;0,00;752,80;4050;"RENDIMENTOS FRALDAS FE RV4050";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.05.00.000;02;0201;0,00;3.234,29;4500;"RENDIMENTOS ATENCAO BASICA FEDERAL RV4500";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.07.00.000;02;0201;0,00;191,19;4503;"RENDIMENTOS ASSISTENCIA FARMACEUTICA FF RV4503";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.08.00.000;02;0201;0,00;70,54;4160;"RENDIMENTOS PIM FE RV4160";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.09.00.000;02;0201;0,00;947,36;4011;"RENDIMENTOS PIES FE RV4011";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.10.00.000;02;0201;0,00;308,07;4050;"RENDIMENTOS FARMACIA BASICA FE RV4050";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.11.00.000;02;0201;0,00;897,88;4090;"RENDIMENTOS PSF FE RV4090";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
4.1.3.2.1.00.1.1.01.03.16.00.000;02;0201;0,00;1.156,48;4503;"RENDIMENTOS ORGANIZACAO FARMACIA CUSTEIO RV4503";A;08;000;0,00;0000;2021-01-01;2021-12-31;2022-01-24;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"C:/Users/Everton/OneDrive/Prefeitura\2021\PAD\2021-12\pm\MES12\BAL_REC.TXT"
